LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
38652,932,139,139,139,139
38655,1163,652,533,514,514
38657,932,139,139,139,139
38658,1119,645,541,514,514
38659,517,78,78,78,78
38667,1255,678,549,521,514
38668,1245,680,541,514,514
38669,1244,679,541,514,514
38671,865,590,525,139,139
38673,865,590,525,139,139
38675,1321,693,550,521,514
38676,1217,672,550,521,514
38679,1329,693,550,521,514
38681,1343,662,546,522,514
38683,765,572,524,156,156
38685,112,112,112,112,112
38686,1180,662,546,522,514
38688,592,156,156,156,156
38689,115,115,115,115,115
38691,115,115,115,115,115
38693,798,546,523,156,156
38694,1341,701,554,520,514
38696,625,533,156,156,156
38698,735,550,523,156,156
38701,1382,701,554,520,514
38702,551,90,90,90,90
38703,138,138,138,138,138
38704,1368,662,546,522,514
38708,138,138,138,138,138
38710,550,143,143,143,143
38712,820,534,90,90,90
38713,1387,709,557,522,514
38718,1386,707,546,522,514
38719,1401,709,557,522,514
38784,1308,646,540,516,515
38793,876,519,106,106,106
38796,876,519,106,106,106
38803,715,522,118,118,118
38804,659,519,106,106,106
38805,136,136,136,136,136
38807,527,62,62,62,62
38808,1237,675,551,153,153
38809,659,519,106,106,106
38811,153,153,153,153,153
38812,1223,673,551,153,153
38813,28,28,28,28,28
38817,53,53,53,53,53
38818,1204,668,548,517,515
38819,1057,631,538,516,515
38820,1271,684,547,517,515
38821,103,103,103,103,103
38824,1203,667,547,517,515
38825,332,332,332,332,332
38826,1146,611,532,517,515
38827,79,79,79,79,79
38828,846,584,519,134,134
38829,994,611,532,517,515
38830,79,79,79,79,79
38831,845,586,529,516,515
38832,860,587,530,516,515
38833,994,611,532,517,515
38834,539,515,515,100,100
38835,902,153,153,153,153
38836,553,91,91,91,91
38838,509,509,509,509,509
38840,719,556,527,515,515
38841,621,530,134,134,134
38846,134,134,134,134,134
38847,1192,627,536,518,515
38848,622,530,134,134,134
38849,546,57,57,57,57
38851,1169,627,536,518,515
38852,1045,627,536,518,515
38856,1038,624,531,139,139
38857,611,528,134,134,134
38858,1257,664,542,514,514
38859,1038,624,531,139,139
38860,579,528,134,134,134
38861,616,516,516,155,155
38862,566,516,516,155,155
38864,438,438,438,438,438
38866,1047,619,139,139,139
38870,1040,610,526,514,514
38871,1040,610,526,514,514
38872,1026,617,526,514,514
38873,1109,613,533,514,514
38874,1135,650,542,514,514
38875,1009,613,533,514,514
38877,1009,613,533,514,514
38879,701,555,526,514,514
38881,932,139,139,139,139
38882,581,529,518,139,139
38883,654,139,139,139,139
38890,1180,662,546,522,514
38891,800,577,170,170,170
38892,170,170,170,170,170
38893,1184,645,541,514,514
38896,1287,679,541,514,514
38899,1328,693,550,521,514
38900,632,539,520,170,170
38903,828,572,524,156,156
38908,936,576,126,126,126
38909,592,156,156,156,156
38910,1347,694,550,521,514
38913,798,546,523,156,156
38915,723,559,524,156,156
38918,1333,699,556,522,514
38925,1341,701,554,520,514
38927,816,550,523,156,156
38928,1373,706,557,522,514
38929,49,49,49,49,49
38932,1373,706,557,522,514
38934,666,527,156,156,156
38936,1387,709,557,522,514
38937,1386,707,546,522,514
38941,1401,709,557,522,514
38942,1048,629,523,156,156
38950,102,102,102,102,102
38952,532,110,110,110,110
39008,1308,646,540,516,515
39017,1266,686,552,153,153
39020,56,56,56,56,56
39027,1237,675,551,153,153
39028,659,519,106,106,106
39029,868,582,97,97,97
39031,1237,675,551,153,153
39032,1224,674,552,153,153
39033,51,51,51,51,51
39034,548,518,106,106,106
39035,1094,640,153,153,153
39036,1195,153,153,153,153
39037,1223,673,551,153,153
39038,1083,621,530,516,515
39042,1118,153,153,153,153
39043,1118,153,153,153,153
39044,638,97,97,97,97
39048,555,103,103,103,103
39049,610,532,519,134,134
39050,1221,658,532,517,515
39052,994,611,532,517,515
39053,84,84,84,84,84
39054,1042,625,535,153,153
39055,561,523,515,100,100
39056,994,611,532,517,515
39057,1326,676,536,518,515
39058,1016,153,153,153,153
39059,845,586,529,516,515
39060,902,153,153,153,153
39062,807,578,527,515,515
39063,719,556,527,515,515
39064,750,556,527,515,515
39065,718,560,527,515,515
39067,588,134,134,134,134
39068,588,134,134,134,134
39070,1021,614,534,515,515
39072,789,578,527,515,515
39073,1151,636,531,139,139
39075,1115,635,531,139,139
39076,733,563,516,155,155
39078,701,555,526,514,514
39079,1101,637,537,519,515
39080,1035,618,139,139,139
39081,1257,664,542,514,514
39082,1257,664,542,514,514
39083,1059,609,531,139,139
39084,701,555,526,514,514
39085,528,516,516,155,155
39086,980,609,531,139,139
39088,967,555,526,514,514
39093,583,166,166,166,166
39094,583,166,166,166,166
39095,983,610,526,514,514
39096,48,48,48,48,48
39097,570,158,158,158,158
39098,510,510,510,510,510
39099,1023,613,533,514,514
39101,1135,650,542,514,514
39103,1175,656,543,514,514
39105,1163,652,533,514,514
39106,679,548,518,139,139
39111,1218,623,533,514,514
39112,1032,623,533,514,514
39114,1206,669,549,521,514
39116,631,139,139,139,139
39117,1255,678,549,521,514
39118,1171,645,541,514,514
39120,1179,661,545,521,514
39121,1287,679,541,514,514
39122,1331,698,555,520,514
39123,819,553,525,139,139
39124,829,572,524,156,156
39128,937,576,126,126,126
39130,436,436,436,436,436
39132,1285,688,553,522,514
39142,533,115,115,115,115
39145,551,90,90,90,90
39147,1368,662,546,522,514
39148,1382,701,554,520,514
39149,1279,688,553,522,514
39152,1388,708,558,522,514
39153,138,138,138,138,138
39154,627,535,90,90,90
39156,1180,662,546,522,514
39161,149,149,149,149,149
39162,1390,709,557,522,514
39165,1387,709,557,522,514
39177,532,110,110,110,110
39182,810,149,149,149,149
39234,1298,687,552,153,153
39239,836,542,136,136,136
39244,1266,686,552,153,153
39246,318,318,318,318,318
39252,659,519,106,106,106
39253,526,62,62,62,62
39255,516,51,51,51,51
39256,1224,674,552,153,153
39258,495,495,495,495,495
39259,1160,640,153,153,153
39261,1094,640,153,153,153
39262,1104,643,539,516,515
39267,1094,640,153,153,153
39268,650,97,97,97,97
39271,737,532,519,134,134
39272,994,611,532,517,515
39273,891,584,519,134,134
39274,1259,684,547,517,515
39276,571,521,514,100,100
39277,1087,633,153,153,153
39279,596,524,515,100,100
39280,153,153,153,153,153
39281,734,564,528,57,57
39282,749,532,519,134,134
39283,1103,616,534,515,515
39284,153,153,153,153,153
39285,994,611,532,517,515
39286,1002,611,532,517,515
39287,1062,615,534,515,515
39288,855,556,527,515,515
39289,789,578,527,515,515
39290,621,530,134,134,134
39291,622,530,134,134,134
39292,702,556,527,515,515
39293,622,530,134,134,134
39294,1045,627,536,518,515
39296,1033,616,534,515,515
39297,780,153,153,153,153
39298,712,516,516,155,155
39299,1079,636,531,139,139
39300,780,153,153,153,153
39302,1091,638,537,519,515
39303,528,516,516,155,155
39304,646,543,153,153,153
39305,1127,642,536,518,515
39306,1101,637,537,519,515
39308,1014,139,139,139,139
39309,1036,618,139,139,139
39310,153,153,153,153,153
39312,1106,628,537,519,515
39313,579,528,134,134,134
39316,1041,610,526,514,514
39317,158,158,158,158,158
39318,583,166,166,166,166
39319,983,610,526,514,514
39320,583,166,166,166,166
39322,510,510,510,510,510
39323,139,139,139,139,139
39325,1145,651,543,514,514
39326,1135,650,542,514,514
39327,515,7,7,7,7
39328,1163,652,533,514,514
39329,1112,645,541,514,514
39330,826,581,525,139,139
39332,701,555,526,514,514
39335,1131,623,533,514,514
39336,1179,661,545,521,514
39338,1255,678,549,521,514
39341,1255,678,549,521,514
39342,886,170,170,170,170
39344,170,170,170,170,170
39345,1242,677,553,522,514
39346,1293,660,544,520,514
39348,916,590,525,139,139
39352,778,576,126,126,126
39353,126,126,126,126,126
39354,936,576,126,126,126
39356,1279,688,553,522,514
39362,1341,701,554,520,514
39366,673,546,523,156,156
39369,735,550,523,156,156
39371,685,550,523,156,156
39373,1355,688,553,522,514
39377,1379,662,546,522,514
39378,626,534,90,90,90
39380,462,462,462,462,462
39385,666,527,156,156,156
39387,1387,709,557,522,514
39389,540,149,149,149,149
39401,774,149,149,149,149
