LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
72671,303,268,260,259,259
72672,285,264,260,259,259
72673,406,292,267,263,259
72674,356,275,260,259,259
72675,1044,319,275,265,258
72676,1003,425,296,265,258
72677,1023,426,296,265,258
72679,642,351,277,263,259
72680,1003,425,296,265,258
72682,309,262,259,258,258
72684,513,319,275,265,258
72685,271,258,68,68,68
72686,537,312,267,263,259
72689,939,414,296,265,258
72690,342,259,68,68,68
72694,996,421,275,265,258
72695,383,262,259,258,258
72697,508,314,273,258,258
72698,484,292,267,263,259
72702,837,384,290,265,258
72706,409,262,259,258,258
72707,800,319,275,265,258
72708,861,395,291,265,258
72709,555,290,264,258,258
72710,398,290,264,258,258
72711,467,290,264,258,258
72713,811,385,275,265,258
72714,688,319,275,265,258
72715,714,366,275,265,258
72716,813,386,291,265,258
72722,764,339,271,258,258
72726,1039,433,298,266,258
72731,634,349,283,266,258
72732,865,383,287,264,258
72733,514,320,276,266,258
72734,752,374,276,266,258
72736,841,391,287,264,258
72738,689,355,276,266,258
72739,750,357,282,265,258
72741,724,371,288,266,258
72742,514,320,276,266,258
72750,767,378,283,266,258
72753,736,370,288,266,258
72754,853,320,276,266,258
72759,758,371,288,266,258
72767,968,405,295,266,258
72778,998,417,292,266,258
72837,461,304,269,260,259
72838,465,306,270,260,259
72839,707,347,268,260,259
72843,754,345,279,261,259
72844,465,306,270,260,259
72845,679,347,268,260,259
72846,1124,453,302,265,258
72848,1132,453,302,265,258
72850,735,345,279,261,259
72851,1120,452,301,265,258
72854,940,413,293,262,259
72856,543,328,268,260,259
72858,543,328,268,260,259
72859,611,345,279,261,259
72860,921,393,293,262,259
72861,1108,444,300,265,258
72863,564,317,263,261,259
72864,1108,444,300,265,258
72865,305,261,258,68,68
72866,1100,319,275,265,258
72867,333,269,258,68,68
72869,339,269,258,68,68
72870,313,269,258,68,68
72871,397,289,262,260,259
72872,374,281,263,261,259
72875,267,261,258,68,68
72878,320,272,262,260,259
72879,506,285,265,259,259
72880,312,266,260,259,259
72881,405,291,266,262,259
72882,1060,439,299,265,258
72883,505,285,265,259,259
72884,1060,439,299,265,258
72886,583,336,266,262,259
72887,323,271,261,260,259
72890,546,325,266,262,259
72891,1064,438,299,265,258
72892,546,325,266,262,259
72894,411,285,265,259,259
72896,301,265,260,259,259
72897,410,291,266,262,259
72898,1021,432,299,265,258
72901,1014,430,275,265,258
72903,642,351,277,263,259
72904,979,419,275,265,258
72906,369,268,260,259,259
72909,933,410,290,265,258
72910,985,422,296,265,258
72914,276,262,259,258,258
72916,324,259,68,68,68
72919,542,313,273,258,258
72921,807,381,290,265,258
72922,731,363,285,265,258
72923,471,308,272,258,258
72926,869,319,275,265,258
72930,655,341,281,265,258
72931,513,319,275,265,258
72932,860,395,291,265,258
72933,455,303,271,258,258
72934,467,290,264,258,258
72935,541,318,274,264,258
72939,757,319,275,265,258
72941,631,339,271,258,258
72946,573,331,276,266,258
72947,768,379,284,265,258
72949,554,333,282,265,258
72952,873,383,287,264,258
72955,1030,434,298,266,258
72956,798,361,287,264,258
72957,1006,428,298,266,258
72962,689,355,276,266,258
72963,514,320,276,266,258
72965,829,382,276,266,258
72966,514,320,276,266,258
72974,951,320,276,266,258
72977,1012,420,276,266,258
72978,890,405,295,266,258
72979,767,378,283,266,258
72981,766,377,283,266,258
72982,871,372,286,264,258
72984,816,378,283,266,258
72991,1083,441,297,266,258
72992,964,406,292,266,258
72996,1008,424,295,266,258
73009,1049,437,295,266,258
73058,673,304,269,260,259
73060,608,304,269,260,259
73061,687,347,268,260,259
73062,591,306,270,260,259
73063,707,347,268,260,259
73066,412,293,268,260,259
73067,1119,449,275,265,258
73068,515,306,270,260,259
73069,679,347,268,260,259
73070,1129,454,302,265,258
73071,222,222,222,222,222
73072,1119,449,275,265,258
73073,517,306,270,260,259
73075,1110,449,275,265,258
73077,612,346,279,261,259
73080,612,346,279,261,259
73082,930,407,289,262,259
73083,930,407,289,262,259
73084,1112,319,275,265,258
73087,1131,450,301,265,258
73089,561,326,279,261,259
73090,1100,319,275,265,258
73091,339,269,258,68,68
73092,1100,319,275,265,258
73093,339,269,258,68,68
73094,333,269,258,68,68
73095,835,393,293,262,259
73096,540,327,280,261,259
73099,352,274,262,260,259
73100,267,261,258,68,68
73101,559,316,263,261,259
73102,877,399,294,262,259
73103,559,316,263,261,259
73104,320,272,262,260,259
73106,1076,438,299,265,258
73107,505,285,265,259,259
73108,1076,438,299,265,258
73109,289,266,260,259,259
73110,1071,430,275,265,258
73111,315,271,261,260,259
73112,261,68,68,68,68
73114,274,68,68,68,68
73115,513,319,275,265,258
73116,405,291,266,262,259
73118,1023,426,296,265,258
73120,510,291,266,262,259
73121,405,291,266,262,259
73127,978,419,275,265,258
73128,1007,319,275,265,258
73130,406,292,267,263,259
73132,327,262,259,258,258
73133,967,414,296,265,258
73135,276,262,259,258,258
73138,468,287,259,258,258
73140,366,279,259,258,258
73143,566,324,278,263,259
73147,499,315,267,263,259
73148,676,341,281,265,258
73150,919,319,275,265,258
73153,434,290,264,258,258
73154,655,341,281,265,258
73157,512,318,274,264,258
73158,491,303,271,258,258
73159,639,319,275,265,258
73163,795,319,275,265,258
73165,503,303,271,258,258
73168,512,318,274,264,258
73170,824,385,275,265,258
73171,824,385,275,265,258
73173,729,364,284,265,258
73176,799,383,287,264,258
73178,761,361,287,264,258
73179,1043,434,298,266,258
73180,713,358,282,265,258
73181,1032,431,298,266,258
73183,701,361,287,264,258
73186,981,320,276,266,258
73187,1034,427,297,266,258
73189,828,382,276,266,258
73190,1053,427,297,266,258
73195,737,370,288,266,258
73197,766,377,283,266,258
73201,1002,420,276,266,258
73202,1013,420,276,266,258
73203,826,389,292,266,258
73204,766,377,283,266,258
73205,758,371,288,266,258
73208,957,415,295,266,258
73212,935,389,292,266,258
73213,1065,429,297,266,258
73216,1000,405,295,266,258
73219,963,418,292,266,258
73221,982,406,292,266,258
73229,1049,437,295,266,258
73284,707,347,268,260,259
73286,674,304,269,260,259
73287,707,347,268,260,259
73288,632,347,268,260,259
73290,747,346,279,261,259
73293,735,345,279,261,259
73297,571,304,269,260,259
73301,916,407,289,262,259
73304,661,345,279,261,259
73305,412,293,268,260,259
73306,1117,450,301,265,258
73307,886,404,293,262,259
73308,1105,447,275,265,258
73311,513,319,275,265,258
73313,748,375,289,262,259
73314,396,288,262,260,259
73315,360,278,262,260,259
73316,1097,447,275,265,258
73317,473,281,263,261,259
73318,368,278,262,260,259
73320,540,327,280,261,259
73323,320,272,262,260,259
73324,304,261,258,68,68
73325,895,399,294,262,259
73327,559,316,263,261,259
73328,446,285,265,259,259
73331,583,336,266,262,259
73332,513,319,275,265,258
73333,472,285,265,259,259
73334,315,271,261,260,259
73335,557,291,266,262,259
73336,273,261,258,68,68
73338,1040,435,275,265,258
73340,405,291,266,262,259
73341,379,263,260,259,259
73346,299,267,259,258,258
73347,303,268,260,259,259
73348,272,258,68,68,68
73350,268,259,68,68,68
73352,1014,430,275,265,258
73355,263,259,68,68,68
73356,309,262,259,258,258
73359,537,312,267,263,259
73362,497,313,273,258,258
73364,900,319,275,265,258
73365,383,262,259,258,258
73366,403,280,259,258,258
73367,839,384,290,265,258
73368,403,280,259,258,258
73371,513,319,275,265,258
73373,576,315,267,263,259
73375,486,311,264,258,258
73376,592,341,281,265,258
73377,434,290,264,258,258
73381,646,341,281,265,258
73383,670,354,285,265,258
73389,512,318,274,264,258
73396,763,339,271,258,258
73397,827,390,291,265,258
73400,580,333,282,265,258
73402,701,361,287,264,258
73404,750,357,282,265,258
73405,943,390,291,265,258
73407,663,337,283,266,258
73409,739,373,286,264,258
73410,1001,320,276,266,258
73416,797,372,286,264,258
73419,1037,427,297,266,258
73421,758,371,288,266,258
73424,788,349,283,266,258
73425,1010,423,276,266,258
73426,1002,420,276,266,258
73427,1002,420,276,266,258
73428,853,320,276,266,258
73429,736,370,288,266,258
73430,808,349,283,266,258
73435,815,377,283,266,258
73436,935,389,292,266,258
73440,954,415,295,266,258
73441,962,417,292,266,258
73443,994,424,295,266,258
73445,894,406,292,266,258
73453,1049,437,295,266,258
73511,754,345,279,261,259
73512,707,347,268,260,259
73517,1147,452,301,265,258
73521,611,345,279,261,259
73525,930,407,289,262,259
